name,ring,quadrant,isNew,description
Ruby on Rails,adopt,languages-frameworks,FALSE,"7+ years production at 2U: multi-tenant CRM, Ruby 2.7→3.2 and Rails 5→7 upgrades with zero-downtime deployments"
Python,adopt,languages-frameworks,FALSE,"Data export platform serving 70+ university partners; Celery/Tornado services delivering 350+ scheduled jobs"
Go,adopt,languages-frameworks,FALSE,"Microservices: SQS UI (230+ tests, Hono-style architecture), Salesforce debug service with Kubernetes deployment"
TypeScript,adopt,languages-frameworks,FALSE,"Panoptrain real-time NYC subway tracker — pnpm monorepo, Hono server + React client + shared types"
React,adopt,languages-frameworks,FALSE,"Production frontend at 2U; React 19 in Panoptrain client with MapLibre GL integration"
Hono,trial,languages-frameworks,TRUE,"Modern lightweight web framework powering Panoptrain server (TypeScript, edge-ready, minimal overhead)"
Astro,trial,languages-frameworks,TRUE,"Static blog at blog.cjunker.dev — Astro 6 + MDX, Dockerfile build, Railway deployment"
LangGraph,trial,languages-frameworks,TRUE,"Agentic LLM workflows — sibling TradingAgents graph in Agentic Portfolio produces 5-tier ratings parsed into trade decisions"
Pydantic,trial,languages-frameworks,TRUE,"Runtime validation + structured config in Agentic Portfolio; type-safe agent input/output schemas"
AWS,adopt,platforms,FALSE,"Daily: EC2, Lambda, S3, RDS, IAM, Secrets Manager, SQS/SNS, CloudWatch, DocumentDB"
Kubernetes,adopt,platforms,FALSE,"Self-managed K8s on EC2 at 2U; Helm charts, HPA, rolling updates, liveness/readiness probes"
Docker,adopt,platforms,FALSE,"Daily containerization across services; multi-stage builds (Umami image: 73MB Alpine, ~1.4s startup)"
Terraform,trial,platforms,FALSE,"Infrastructure as Code for AWS resources, version-controlled environments"
Railway,trial,platforms,TRUE,"Modern PaaS hosting blog and Umami stack; managed Postgres, Dockerfile builds, auto-HTTPS, free tier"
Cloudflare,trial,platforms,FALSE,"DNS, CDN, DDoS protection, Access (Zero Trust GitHub OAuth), dual-subdomain CORS architecture"
AWS Bedrock,assess,platforms,TRUE,"Exploring managed LLM access via AWS for production AI features — plays to existing AWS expertise"
PostgreSQL,adopt,tools,FALSE,"Primary relational database for new services; managed instances on Railway and AWS RDS"
MySQL,adopt,tools,FALSE,"Primary production DB at 2U; led migration of 4B+ records from MongoDB with zero downtime"
Redis,adopt,tools,FALSE,"Distributed caching with write-through pattern; Sidekiq job queue; cross-service performance optimization"
Elasticsearch,adopt,tools,FALSE,"Full-text indexing across previously slow SQL queries; real-time search at scale"
Datadog,adopt,tools,FALSE,"Daily production observability: APM, dashboards, alerts surfacing regressions in <5 min, SLO monitoring"
PagerDuty,adopt,tools,TRUE,"Primary on-call rotation at 2U; incident response, escalation policies, post-mortems"
Kafka,trial,tools,TRUE,"Event streaming for high-volume pipelines; production experience with SNS/SQS as Kafka-adjacent patterns"
GitHub Actions,adopt,tools,FALSE,"CI/CD across portfolio and 2U services; parallelization reduced CI runtime 85% (105 → 16 min)"
Microservices,adopt,techniques,FALSE,"Multi-service architecture at 2U: CRM, data export platform, payment gateway routing across 4 providers"
Event-Driven Architecture,adopt,techniques,FALSE,"SNS/SQS topic routing, async Sidekiq/Celery processing, 1M+ daily events across services"
Distributed Tracing,adopt,techniques,FALSE,"Datadog APM across multi-system architecture (Rails → SNS/SQS → Sidekiq → external APIs)"
SLO/SLA Monitoring,adopt,techniques,FALSE,"Authored SLAs at 2U; primary on-call, post-mortems, reliability targets across microservices"
CI/CD,adopt,techniques,FALSE,"GitHub Actions, Jenkins; parallelization and test infrastructure optimization (CI 105 → 16 min)"
TDD,adopt,techniques,TRUE,"Test-driven development; 230+ tests in Go SQS UI; comprehensive coverage across production services"
Serverless,trial,techniques,TRUE,"70+ AWS Lambda functions with isolated IAM for FERPA-compliant partner data transfers"
Secrets Management,adopt,techniques,FALSE,"PCI-compliant rotation across 100+ credentials using AWS Secrets Manager with pre-cutover validation"
RAG,assess,techniques,TRUE,"Retrieval-augmented generation — exploring patterns for grounding LLM responses in domain data"
Model Context Protocol,assess,techniques,TRUE,"Anthropic-led open standard for connecting LLMs to tools and data sources; emerging industry standard"
Prompt Caching,assess,techniques,TRUE,"Production cost optimization for LLM API calls — Anthropic/OpenAI cache strategies for repeated context"
